Case,Algorithm,Bins Used,Time / Item (s),nitems,ndays,Bin Utilization,Avg Items per Bin,Percent Items Departed,Bins Used per Item,Efficiency,Time (s)
Correlated Arrival and Departure,worst_fit_decreasing,4,0.0,10,10,0.8441176377564785,2.5,1.0,0.4,0.8441176377564785,0.0
Correlated Arrival and Departure,time_aware_harmonic_algorithm,4,0.0,10,10,0.8441176377564785,2.5,1.0,0.4,0.8441176377564785,0.0
Correlated Arrival and Departure,rolling_horizon_dp,5,0.0,10,10,0.727453712350821,2.0,1.0,0.5,0.727453712350821,0.0
Time-aware items,first_fit,4,0.0,10,100,0.9642117694811154,2.5,1.0,0.4,0.9642117694811154,0.0
Time-aware items,next_fit,5,0.0,10,100,0.766470622022878,2.0,1.0,0.5,0.766470622022878,0.0
Time-aware items,best_fit,4,0.00010213851928710937,10,100,0.9642117694811154,2.5,1.0,0.4,0.4324071048076184,0.0010213851928710938
Time-aware items,worst_fit,5,0.0,10,100,0.766470622022878,2.0,1.0,0.5,0.766470622022878,0.0
Time-aware items,first_fit_decreasing,4,0.0,10,100,0.9771525292356396,2.5,1.0,0.4,0.9771525292356396,0.0
Time-aware items,best_fit_decreasing,4,0.0,10,100,0.9771525292356396,2.5,1.0,0.4,0.9771525292356396,0.0
Time-aware items,next_fit_decreasing,5,0.0,10,100,0.766470622022878,2.0,1.0,0.5,0.766470622022878,0.0
Time-aware items,worst_fit_decreasing,5,0.0,10,100,0.9062718961701972,2.0,1.0,0.5,0.9062718961701972,0.0
Time-aware items,time_aware_harmonic_algorithm,5,0.0,10,100,0.820344465667852,2.0,1.0,0.5,0.820344465667852,0.0
Time-aware items,rolling_horizon_dp,6,0.0,10,100,0.6240589640166693,1.6666666666666667,1.0,0.6,0.6240589640166693,0.0
Correlated Arrival and Departure,first_fit,7,0.0,10,100,0.7482210836776279,1.4285714285714286,1.0,0.7,0.7482210836776279,0.0
Correlated Arrival and Departure,next_fit,9,0.0,10,100,0.5556521219563569,1.1111111111111112,1.0,0.9,0.5556521219563569,0.0
Correlated Arrival and Departure,best_fit,7,0.0,10,100,0.7482210836776279,1.4285714285714286,1.0,0.7,0.7482210836776279,0.0
Correlated Arrival and Departure,worst_fit,7,0.0,10,100,0.7482210836776279,1.4285714285714286,1.0,0.7,0.7482210836776279,0.0
Correlated Arrival and Departure,first_fit_decreasing,6,0.0,10,100,0.9338650822049819,1.6666666666666667,1.0,0.6,0.9338650822049819,0.0
Correlated Arrival and Departure,best_fit_decreasing,6,0.0,10,100,0.936810488406846,1.6666666666666667,1.0,0.6,0.936810488406846,0.0
Correlated Arrival and Departure,next_fit_decreasing,7,0.0,10,100,0.7482210836776279,1.4285714285714286,1.0,0.7,0.7482210836776279,0.0
Correlated Arrival and Departure,worst_fit_decreasing,6,0.0,10,100,0.8543804909729062,1.6666666666666667,1.0,0.6,0.8543804909729062,0.0
Correlated Arrival and Departure,time_aware_harmonic_algorithm,6,0.0,10,100,0.8498248128088501,1.6666666666666667,1.0,0.6,0.8498248128088501,0.0
Correlated Arrival and Departure,rolling_horizon_dp,9,0.0,10,100,0.5556521219563569,1.1111111111111112,1.0,0.9,0.5556521219563569,0.0
Time-aware items,first_fit,7,0.0,10,1000,0.8963020141066829,1.4285714285714286,1.0,0.7,0.8963020141066829,0.0
Time-aware items,next_fit,9,0.0,10,1000,0.6156288214033613,1.1111111111111112,1.0,0.9,0.6156288214033613,0.0
Time-aware items,best_fit,7,0.0,10,1000,0.8963020141066829,1.4285714285714286,1.0,0.7,0.8963020141066829,0.0
Time-aware items,worst_fit,7,0.0,10,1000,0.8375858832913036,1.4285714285714286,1.0,0.7,0.8375858832913036,0.0
Time-aware items,first_fit_decreasing,7,0.0,10,1000,0.8963020141066829,1.4285714285714286,1.0,0.7,0.8963020141066829,0.0
Time-aware items,best_fit_decreasing,7,0.0,10,1000,0.8963020141066829,1.4285714285714286,1.0,0.7,0.8963020141066829,0.0
Time-aware items,next_fit_decreasing,8,0.0,10,1000,0.8358341796194861,1.25,1.0,0.8,0.8358341796194861,0.0
Time-aware items,worst_fit_decreasing,7,0.0,10,1000,0.8375858832913036,1.4285714285714286,1.0,0.7,0.8375858832913036,0.0
Time-aware items,time_aware_harmonic_algorithm,7,0.0,10,1000,0.8963020141066829,1.4285714285714286,1.0,0.7,0.8963020141066829,0.0
Time-aware items,rolling_horizon_dp,9,0.0,10,1000,0.6156288214033613,1.1111111111111112,1.0,0.9,0.6156288214033613,0.0
Correlated Arrival and Departure,first_fit,8,0.0,10,1000,0.7700868360089386,1.25,1.0,0.8,0.7700868360089386,0.0
Correlated Arrival and Departure,next_fit,8,0.0,10,1000,0.7951289472587592,1.25,1.0,0.8,0.7951289472587592,0.0
Correlated Arrival and Departure,best_fit,8,0.0,10,1000,0.7700868360089386,1.25,1.0,0.8,0.7700868360089386,0.0
Correlated Arrival and Departure,worst_fit,8,0.0,10,1000,0.7951289472587592,1.25,1.0,0.8,0.7951289472587592,0.0
Correlated Arrival and Departure,first_fit_decreasing,7,0.0,10,1000,0.9009356282857246,1.4285714285714286,1.0,0.7,0.9009356282857246,0.0
Correlated Arrival and Departure,best_fit_decreasing,7,0.0,10,1000,0.9009356282857246,1.4285714285714286,1.0,0.7,0.9009356282857246,0.0
Correlated Arrival and Departure,next_fit_decreasing,8,0.0,10,1000,0.8184076220465862,1.25,1.0,0.8,0.8184076220465862,0.0
Correlated Arrival and Departure,worst_fit_decreasing,7,0.0,10,1000,0.8420625800726722,1.4285714285714286,1.0,0.7,0.8420625800726722,0.0
Correlated Arrival and Departure,time_aware_harmonic_algorithm,7,0.0,10,1000,0.8922293391516477,1.4285714285714286,1.0,0.7,0.8922293391516477,0.0
Correlated Arrival and Departure,rolling_horizon_dp,8,0.0,10,1000,0.7744946723042456,1.25,1.0,0.8,0.7744946723042456,0.0
Time-aware items,first_fit,6,0.0,10,10000,0.5948932374628875,1.6666666666666667,1.0,0.6,0.5948932374628875,0.0
Time-aware items,next_fit,6,0.0,10,10000,0.6643892352291432,1.6666666666666667,1.0,0.6,0.6643892352291432,0.0
Time-aware items,best_fit,6,0.0,10,10000,0.5948932374628875,1.6666666666666667,1.0,0.6,0.5948932374628875,0.0
Time-aware items,worst_fit,6,0.0,10,10000,0.6643892352291432,1.6666666666666667,1.0,0.6,0.6643892352291432,0.0
Time-aware items,first_fit_decreasing,5,0.0,10,10000,0.8915480720975004,2.0,1.0,0.5,0.8915480720975004,0.0
Time-aware items,best_fit_decreasing,5,0.0,10,10000,0.8915480720975004,2.0,1.0,0.5,0.8915480720975004,0.0
Time-aware items,next_fit_decreasing,6,0.0,10,10000,0.6026164701420434,1.6666666666666667,1.0,0.6,0.6026164701420434,0.0
Time-aware items,worst_fit_decreasing,5,0.0,10,10000,0.7474648194284794,2.0,1.0,0.5,0.7474648194284794,0.0
Time-aware items,time_aware_harmonic_algorithm,5,0.0,10,10000,0.8699494117209594,2.0,1.0,0.5,0.8699494117209594,0.0
Time-aware items,rolling_horizon_dp,6,0.00010275840759277344,10,10000,0.6643892352291432,1.6666666666666667,1.0,0.6,0.23262913909652613,0.0010275840759277344
Correlated Arrival and Departure,first_fit,7,0.0,10,10000,0.915626364013834,1.4285714285714286,1.0,0.7,0.915626364013834,0.0
Correlated Arrival and Departure,next_fit,8,0.0,10,10000,0.8739034626866744,1.25,1.0,0.8,0.8739034626866744,0.0
Correlated Arrival and Departure,best_fit,7,0.0,10,10000,0.915626364013834,1.4285714285714286,1.0,0.7,0.915626364013834,0.0
Correlated Arrival and Departure,worst_fit,7,0.0,10,10000,0.8923915989493107,1.4285714285714286,1.0,0.7,0.8923915989493107,0.0
